transaction_id,attempt_number,retry_timestamp,hours_since_original_failure,retry_day_of_month,retry_outcome
5e9ee762-4d76-496f-9a0e-a102e225e5e3,1,2026-03-24 23:02:47.173025,2.18,24,failed
5e9ee762-4d76-496f-9a0e-a102e225e5e3,2,2026-03-25 17:51:29.078342,20.99,25,success
3a0abb84-bb39-43d3-b552-3696a29a5d39,1,2026-03-24 10:20:12.312300,4.7,24,failed
3a0abb84-bb39-43d3-b552-3696a29a5d39,2,2026-03-25 00:52:53.862122,19.25,25,success
9bb4f330-744e-4861-932d-e7c88ad8ad44,1,2026-03-18 09:39:36.523070,7.13,18,success
0db3809a-ef6a-45d6-b2bb-f56ff109cd50,1,2026-05-15 06:53:23.478012,6.51,15,success
96d1c641-6780-4d9f-9606-946e8b61611f,1,2026-01-17 23:32:58.127749,6.65,17,success
2f874409-cac1-4906-9c69-004d57e06776,1,2026-02-08 16:32:29.383014,4.56,8,failed
2f874409-cac1-4906-9c69-004d57e06776,2,2026-02-09 10:41:07.352845,22.7,9,failed
2f874409-cac1-4906-9c69-004d57e06776,3,2026-02-11 01:20:18.231601,61.36,11,failed
2f874409-cac1-4906-9c69-004d57e06776,4,2026-02-14 18:40:27.401707,150.69,14,failed
2e50c7d5-1931-4938-b6be-301690ce94c1,1,2026-06-08 01:26:48.027497,2.95,8,failed
2e50c7d5-1931-4938-b6be-301690ce94c1,2,2026-06-08 21:18:40.379244,22.81,8,success
cc4e6c2d-bb4f-43f7-93e6-0306fe510ad1,1,2026-04-12 04:00:53.663438,2.21,12,failed
cc4e6c2d-bb4f-43f7-93e6-0306fe510ad1,2,2026-04-13 04:52:00.980113,27.07,13,failed
cc4e6c2d-bb4f-43f7-93e6-0306fe510ad1,3,2026-04-15 18:50:05.625903,89.03,15,failed
cc4e6c2d-bb4f-43f7-93e6-0306fe510ad1,4,2026-04-20 10:42:57.962575,200.92,20,failed
022d7605-9046-4b1e-b302-1ac2343f0f28,1,2026-04-10 22:18:12.339775,7.35,10,failed
022d7605-9046-4b1e-b302-1ac2343f0f28,2,2026-04-11 23:52:21.861736,32.92,11,success
022020dc-88d4-4470-9800-7b2302f94478,1,2026-04-22 18:25:49.973504,4.8,22,failed
022020dc-88d4-4470-9800-7b2302f94478,2,2026-04-23 12:07:57.846535,22.5,23,failed
022020dc-88d4-4470-9800-7b2302f94478,3,2026-04-26 06:48:15.018126,89.17,26,failed
022020dc-88d4-4470-9800-7b2302f94478,4,2026-05-01 02:35:12.661366,204.95,1,success
98b856fa-3b56-4078-96b0-878e0a3a189f,1,2026-02-04 19:33:03.008303,5.47,4,failed
98b856fa-3b56-4078-96b0-878e0a3a189f,2,2026-02-05 09:09:10.610625,19.07,5,failed
98b856fa-3b56-4078-96b0-878e0a3a189f,3,2026-02-07 10:45:16.891322,68.67,7,failed
98b856fa-3b56-4078-96b0-878e0a3a189f,4,2026-02-11 22:18:39.820860,176.23,11,failed
e36ad6a4-4273-43ba-a9ab-e40c22f45fd5,1,2026-01-21 05:11:01.643413,11.88,21,failed
e36ad6a4-4273-43ba-a9ab-e40c22f45fd5,2,2026-01-22 03:01:56.403584,33.73,22,success
6b550f8f-980e-4143-a10a-8d2a8e9d930b,1,2026-06-29 06:46:38.659150,10.59,29,success
89a65b88-8c3b-4f94-98c6-de167c421be9,1,2026-01-04 19:50:44.069505,1.9,4,failed
89a65b88-8c3b-4f94-98c6-de167c421be9,2,2026-01-06 06:54:45.255771,36.96,6,failed
89a65b88-8c3b-4f94-98c6-de167c421be9,3,2026-01-09 04:34:57.420749,106.63,9,failed
89a65b88-8c3b-4f94-98c6-de167c421be9,4,2026-01-13 01:43:06.731359,199.77,13,failed
2a4a1073-adda-4982-8139-f392d3d100bc,1,2026-02-26 01:22:46.796483,8.91,26,failed
2a4a1073-adda-4982-8139-f392d3d100bc,2,2026-02-26 15:26:39.714169,22.98,26,success
ac232317-7168-4fb9-abbb-f86babbf2a0e,1,2026-02-15 20:04:16.502512,6.59,15,success
6367e73e-baa5-4448-9edd-fc54e94d49d4,1,2026-04-16 14:18:53.557104,1.91,16,failed
6367e73e-baa5-4448-9edd-fc54e94d49d4,2,2026-04-17 13:07:23.905089,24.72,17,success
5dad2697-e658-4b87-aa79-0e91b8eda002,1,2026-05-22 01:31:23.935606,6.89,22,failed
5dad2697-e658-4b87-aa79-0e91b8eda002,2,2026-05-23 00:36:17.932993,29.97,23,failed
5dad2697-e658-4b87-aa79-0e91b8eda002,3,2026-05-25 09:30:47.488609,86.88,25,failed
5dad2697-e658-4b87-aa79-0e91b8eda002,4,2026-05-28 19:56:04.156340,169.3,28,failed
ae80ca8e-9646-4313-ad1b-830bff78c4b4,1,2026-05-20 17:35:02.363148,11.62,20,failed
ae80ca8e-9646-4313-ad1b-830bff78c4b4,2,2026-05-21 10:49:32.340342,28.86,21,failed
ae80ca8e-9646-4313-ad1b-830bff78c4b4,3,2026-05-24 09:27:07.510173,99.49,24,failed
ae80ca8e-9646-4313-ad1b-830bff78c4b4,4,2026-05-28 21:57:26.576447,207.99,28,failed
e608c833-6bfc-4eb8-824e-918ccc0d8b8c,1,2026-04-26 21:09:05.359270,5.32,26,failed
e608c833-6bfc-4eb8-824e-918ccc0d8b8c,2,2026-04-27 10:11:16.371215,18.35,27,success
9cdf1093-9cf7-4c08-a247-61973e0f2b06,1,2026-04-28 18:36:10.323526,4.09,28,success
c76997d8-f55f-4d2e-9598-440cd8924494,1,2026-05-05 18:39:50.385346,6.75,5,failed
c76997d8-f55f-4d2e-9598-440cd8924494,2,2026-05-06 18:27:05.947262,30.53,6,success
cd2d6be8-0edc-442d-84d4-7e53d5b4dce5,1,2026-05-12 17:21:23.287133,10.91,12,success
2f8733a0-85b7-4579-aa80-b1cab5434048,1,2026-01-02 14:14:26.162883,3.86,2,failed
2f8733a0-85b7-4579-aa80-b1cab5434048,2,2026-01-03 04:56:19.572025,18.56,3,failed
2f8733a0-85b7-4579-aa80-b1cab5434048,3,2026-01-05 04:38:38.736183,66.26,5,failed
2f8733a0-85b7-4579-aa80-b1cab5434048,4,2026-01-08 11:57:10.302698,145.57,8,failed
f6855bc8-66ba-4f9b-b278-ce8d935755b5,1,2026-06-22 04:36:58.051989,8.55,22,failed
f6855bc8-66ba-4f9b-b278-ce8d935755b5,2,2026-06-23 03:02:42.900200,30.98,23,failed
f6855bc8-66ba-4f9b-b278-ce8d935755b5,3,2026-06-24 17:51:40.535868,69.79,24,failed
f6855bc8-66ba-4f9b-b278-ce8d935755b5,4,2026-06-28 12:47:54.923754,160.73,28,success
31805c4f-587b-4384-9e77-346528b1f330,1,2026-01-31 15:17:20.347600,8.21,31,failed
31805c4f-587b-4384-9e77-346528b1f330,2,2026-02-01 16:41:40.227185,33.61,1,failed
31805c4f-587b-4384-9e77-346528b1f330,3,2026-02-03 23:55:25.094427,88.84,3,failed
31805c4f-587b-4384-9e77-346528b1f330,4,2026-02-08 23:27:49.656918,208.38,8,failed
e8a59f4b-c4d5-47ed-b7ed-46921452cf0c,1,2026-03-12 05:01:50.991686,1.21,12,failed
e8a59f4b-c4d5-47ed-b7ed-46921452cf0c,2,2026-03-13 04:40:44.916471,24.86,13,success
e70ea596-56eb-437b-80d4-566acc286ccd,1,2026-02-13 03:41:47.425161,2.11,13,failed
e70ea596-56eb-437b-80d4-566acc286ccd,2,2026-02-14 05:35:18.259823,28.01,14,failed
e70ea596-56eb-437b-80d4-566acc286ccd,3,2026-02-15 23:01:37.821761,69.44,15,success
9dcb050c-540b-41f5-9b95-ad85e5406cfe,1,2026-05-06 07:39:33.095924,6.48,6,failed
9dcb050c-540b-41f5-9b95-ad85e5406cfe,2,2026-05-07 17:10:08.316411,39.99,7,failed
9dcb050c-540b-41f5-9b95-ad85e5406cfe,3,2026-05-10 11:18:49.840979,106.13,10,failed
9dcb050c-540b-41f5-9b95-ad85e5406cfe,4,2026-05-14 20:23:02.174239,211.2,14,success
3cfdb0de-b39b-43e1-a717-aec9b04155da,1,2026-01-18 03:13:53.304693,2.43,18,failed
3cfdb0de-b39b-43e1-a717-aec9b04155da,2,2026-01-18 23:26:57.165977,22.65,18,failed
3cfdb0de-b39b-43e1-a717-aec9b04155da,3,2026-01-21 06:50:56.264635,78.05,21,failed
3cfdb0de-b39b-43e1-a717-aec9b04155da,4,2026-01-26 05:21:23.822922,196.56,26,failed
e31ad65b-2d3a-4cf3-8f9f-091e9feb6fc3,1,2026-04-05 15:50:28.444959,2.72,5,success
6f3fc3ca-9181-4212-ae5d-659574f30842,1,2026-06-02 00:57:59.713690,2.27,2,success
ec666928-e4d6-4d36-9fea-b6e795b58d25,1,2026-03-14 17:02:45.277704,4.88,14,success
75cc32bc-5f7c-4fd2-a35a-e8756e5a0a99,1,2026-03-24 12:26:44.983935,1.58,24,failed
75cc32bc-5f7c-4fd2-a35a-e8756e5a0a99,2,2026-03-25 13:32:07.396909,26.67,25,success
d8a01bda-bc73-4e89-bbf6-ec47c2fdd5c4,1,2026-02-25 04:16:52.466683,9.7,25,success
6cf0ad05-3ba6-403f-8f7e-b814815fe97b,1,2026-05-27 11:17:27.969667,2.19,27,success
fefea7ee-acac-428c-8117-614972e4e145,1,2026-03-06 06:06:27.225864,6.19,6,failed
fefea7ee-acac-428c-8117-614972e4e145,2,2026-03-07 13:49:28.006567,37.91,7,failed
fefea7ee-acac-428c-8117-614972e4e145,3,2026-03-09 23:30:43.001250,95.6,9,failed
fefea7ee-acac-428c-8117-614972e4e145,4,2026-03-13 10:52:33.547929,178.96,13,success
a49089d9-10ca-4f87-ad68-4148fa1232da,1,2026-04-02 13:14:49.434546,6.01,2,success
e2701796-e2e4-4825-8fdb-e209ef4f1c0c,1,2026-04-16 19:49:22.673721,7.71,16,failed
e2701796-e2e4-4825-8fdb-e209ef4f1c0c,2,2026-04-17 09:55:03.123290,21.8,17,failed
e2701796-e2e4-4825-8fdb-e209ef4f1c0c,3,2026-04-19 21:05:33.033568,80.98,19,success
5d32916f-c0bd-4eee-b735-1b81766101db,1,2026-03-15 04:24:44.888102,5.3,15,failed
5d32916f-c0bd-4eee-b735-1b81766101db,2,2026-03-16 04:04:18.143904,28.96,16,failed
5d32916f-c0bd-4eee-b735-1b81766101db,3,2026-03-17 19:55:02.934791,68.8,17,failed
5d32916f-c0bd-4eee-b735-1b81766101db,4,2026-03-21 08:02:16.350847,152.92,21,failed
7259022f-ebe4-487f-86e6-5a87e8bd1ac8,1,2026-01-23 06:23:29.648071,1.69,23,failed
7259022f-ebe4-487f-86e6-5a87e8bd1ac8,2,2026-01-24 07:39:40.032761,26.96,24,success
ce411ef8-8291-4f7d-be2c-8d286445d14a,1,2026-06-09 11:31:25.007915,6.42,9,failed
ce411ef8-8291-4f7d-be2c-8d286445d14a,2,2026-06-10 21:14:06.046920,40.14,10,success
b1a0b04c-72c8-4a71-a559-35ca3a78d624,1,2026-04-15 05:48:19.645838,2.29,15,failed
b1a0b04c-72c8-4a71-a559-35ca3a78d624,2,2026-04-16 06:22:08.808758,26.85,16,failed
b1a0b04c-72c8-4a71-a559-35ca3a78d624,3,2026-04-18 18:40:42.429973,87.16,18,failed
b1a0b04c-72c8-4a71-a559-35ca3a78d624,4,2026-04-22 16:22:54.482454,180.87,22,success
0990ce31-3926-42de-a532-a42b3938ee41,1,2026-03-21 04:50:21.482383,2.97,21,failed
0990ce31-3926-42de-a532-a42b3938ee41,2,2026-03-21 22:24:56.178212,20.55,21,failed
0990ce31-3926-42de-a532-a42b3938ee41,3,2026-03-24 18:27:15.587418,88.59,24,failed
0990ce31-3926-42de-a532-a42b3938ee41,4,2026-03-29 17:33:31.850046,207.69,29,failed
d4ae4542-f2f2-4e8f-bfae-92fdc722c0e7,1,2026-05-15 03:14:46.848853,7.75,15,failed
d4ae4542-f2f2-4e8f-bfae-92fdc722c0e7,2,2026-05-16 12:20:07.623966,40.84,16,failed
d4ae4542-f2f2-4e8f-bfae-92fdc722c0e7,3,2026-05-18 02:50:01.862018,79.33,18,success
164042af-94f3-4b70-bcc2-2a7095c81874,1,2026-05-15 17:47:07.658925,11.59,15,failed
164042af-94f3-4b70-bcc2-2a7095c81874,2,2026-05-16 19:27:45.326816,37.26,16,failed
164042af-94f3-4b70-bcc2-2a7095c81874,3,2026-05-19 06:02:40.434888,95.84,19,failed
164042af-94f3-4b70-bcc2-2a7095c81874,4,2026-05-22 06:24:42.643485,168.21,22,success
614a8213-9850-48fd-9da7-6bb4f3e0b9c0,1,2026-06-20 06:52:43.279692,8.2,20,failed
614a8213-9850-48fd-9da7-6bb4f3e0b9c0,2,2026-06-21 04:52:25.191250,30.19,21,failed
614a8213-9850-48fd-9da7-6bb4f3e0b9c0,3,2026-06-23 14:08:34.711661,87.46,23,failed
614a8213-9850-48fd-9da7-6bb4f3e0b9c0,4,2026-06-27 11:19:36.859357,180.64,27,failed
a558894c-248b-440b-8f39-39e881deaac9,1,2026-05-13 04:47:35.554291,1.96,13,failed
a558894c-248b-440b-8f39-39e881deaac9,2,2026-05-13 22:51:03.932334,20.02,13,failed
a558894c-248b-440b-8f39-39e881deaac9,3,2026-05-15 17:39:02.906158,62.82,15,success
49184de0-eb96-4725-bd62-36e4f49608f9,1,2026-06-11 23:39:12.384022,9.97,11,success
72f55052-a85b-415e-8679-29bfe69e8308,1,2026-04-19 21:43:04.763920,1.3,19,failed
72f55052-a85b-415e-8679-29bfe69e8308,2,2026-04-21 04:02:31.485529,31.63,21,failed
72f55052-a85b-415e-8679-29bfe69e8308,3,2026-04-23 13:20:06.088584,88.92,23,failed
72f55052-a85b-415e-8679-29bfe69e8308,4,2026-04-28 03:31:48.436902,199.11,28,failed
5834ee7c-00bb-4889-af77-344ad631bbec,1,2026-06-28 19:43:05.521389,6.43,28,failed
5834ee7c-00bb-4889-af77-344ad631bbec,2,2026-06-30 01:17:25.084460,36.01,30,failed
5834ee7c-00bb-4889-af77-344ad631bbec,3,2026-07-02 02:33:56.381510,85.28,2,failed
5834ee7c-00bb-4889-af77-344ad631bbec,4,2026-07-06 05:11:49.088394,183.91,6,failed
162e39a9-a1b9-40cf-bfaa-f5f16cfce78d,1,2026-05-16 13:35:48.460802,7.91,16,failed
162e39a9-a1b9-40cf-bfaa-f5f16cfce78d,2,2026-05-17 14:04:53.992838,32.4,17,success
9a8db185-f3a4-4a33-87c0-854c6a5c7a75,1,2026-05-17 10:41:29.768448,4.89,17,success
58cdfafa-7589-4205-bc37-f5c74ed3e9ac,1,2026-05-26 04:11:23.966220,1.64,26,success
74f45864-a8ba-4224-84b9-4631513f5d19,1,2026-01-03 05:21:27.528052,9.07,3,success
1242a80f-1bde-452e-842a-b8d635845c73,1,2026-01-23 21:53:50.550089,5.95,23,success
c9a78aab-5d03-4e51-8bae-697a631d61fe,1,2026-04-03 08:13:26.525846,5.92,3,failed
c9a78aab-5d03-4e51-8bae-697a631d61fe,2,2026-04-03 21:57:39.087737,19.66,3,success
949dabf3-d758-46e8-ac99-4d5ad8dcc236,1,2026-06-24 10:05:55.206960,9.5,24,success
3d50d537-a00d-4e1c-a237-725e84c342dc,1,2026-04-08 13:05:20.737749,1.44,8,failed
3d50d537-a00d-4e1c-a237-725e84c342dc,2,2026-04-09 22:43:53.239472,35.08,9,failed
3d50d537-a00d-4e1c-a237-725e84c342dc,3,2026-04-12 16:13:39.254941,100.58,12,failed
3d50d537-a00d-4e1c-a237-725e84c342dc,4,2026-04-15 23:08:15.748492,179.49,15,success
3cabf018-2b73-46f7-b3a3-87103a64d16d,1,2026-03-12 23:08:48.313340,4.1,12,success
7fb3a5e4-7457-4e1b-8a41-a724f3614f0f,1,2026-03-08 03:55:57.547423,9.97,8,success
321881dc-4c94-4e84-94fa-0c750f6ea7f3,1,2026-03-16 17:24:45.182968,11.9,16,success
efb98fee-73f1-41da-87bc-6332bd8d4393,1,2026-05-16 15:05:01.944486,7.22,16,success
b380e671-ebf6-424a-8d92-252ce8f5dbea,1,2026-01-28 03:27:50.177030,5.83,28,failed
b380e671-ebf6-424a-8d92-252ce8f5dbea,2,2026-01-28 21:15:22.187843,23.62,28,failed
b380e671-ebf6-424a-8d92-252ce8f5dbea,3,2026-01-30 18:41:15.377366,69.05,30,failed
b380e671-ebf6-424a-8d92-252ce8f5dbea,4,2026-02-03 03:32:39.830668,149.91,3,failed
06846787-cc5a-4da9-99c9-543096873b32,1,2026-01-14 01:32:25.768664,2.29,14,failed
06846787-cc5a-4da9-99c9-543096873b32,2,2026-01-15 04:51:30.576951,29.61,15,failed
06846787-cc5a-4da9-99c9-543096873b32,3,2026-01-17 06:11:17.258554,78.94,17,failed
06846787-cc5a-4da9-99c9-543096873b32,4,2026-01-20 11:32:12.825169,156.29,20,failed
c28e4b2d-46d3-4bf4-9431-7902cb0c93e5,1,2026-05-03 14:21:45.516031,11.9,3,success
cd1eb0d0-b280-43b4-aca9-96b0dace09f5,1,2026-03-06 19:15:15.814476,7.77,6,failed
cd1eb0d0-b280-43b4-aca9-96b0dace09f5,2,2026-03-07 13:47:37.145423,26.31,7,success
a1b9a047-5ba8-45f5-ac46-6617a17d8901,1,2026-06-14 05:14:05.086287,3.35,14,failed
a1b9a047-5ba8-45f5-ac46-6617a17d8901,2,2026-06-15 02:06:55.533582,24.23,15,success
6f21c6a9-f5cd-4342-bda0-33a03a633e76,1,2026-06-09 03:39:55.005943,10.13,9,failed
6f21c6a9-f5cd-4342-bda0-33a03a633e76,2,2026-06-10 14:52:51.874023,45.35,10,failed
6f21c6a9-f5cd-4342-bda0-33a03a633e76,3,2026-06-13 13:06:31.005998,115.58,13,failed
6f21c6a9-f5cd-4342-bda0-33a03a633e76,4,2026-06-16 16:44:13.071468,191.2,16,failed
da2414a0-7615-4301-a246-b4900bde8e73,1,2026-01-16 05:39:07.395165,6.6,16,failed
da2414a0-7615-4301-a246-b4900bde8e73,2,2026-01-17 00:12:52.406339,25.16,17,failed
da2414a0-7615-4301-a246-b4900bde8e73,3,2026-01-19 04:59:28.496040,77.94,19,success
f8d882ca-fc54-4466-8bef-559a681ba49c,1,2026-01-04 12:33:05.250122,7.53,4,failed
f8d882ca-fc54-4466-8bef-559a681ba49c,2,2026-01-05 16:35:36.859159,35.58,5,failed
f8d882ca-fc54-4466-8bef-559a681ba49c,3,2026-01-08 02:16:51.852943,93.26,8,failed
f8d882ca-fc54-4466-8bef-559a681ba49c,4,2026-01-11 05:14:17.320467,168.22,11,failed
3a39231f-76d0-4672-9697-664c4146ac5a,1,2026-01-17 03:14:45.881252,10.3,17,success
d2884d6d-dce6-4c97-b295-f04a26128af8,1,2026-06-22 15:23:15.465593,6.95,22,success
510d992e-9fbd-4b18-910b-b6635ef99270,1,2026-02-19 05:37:35.639790,10.36,19,failed
510d992e-9fbd-4b18-910b-b6635ef99270,2,2026-02-19 20:03:17.561079,24.79,19,success
db09cbbb-d554-44c8-8b1e-d8611a5edbfc,1,2026-05-26 00:47:10.282833,11.19,26,failed
db09cbbb-d554-44c8-8b1e-d8611a5edbfc,2,2026-05-27 00:38:21.202677,35.04,27,success
7c713d2c-b7a4-4a31-9210-882b3482b69c,1,2026-03-16 10:37:58.182328,6.5,16,failed
7c713d2c-b7a4-4a31-9210-882b3482b69c,2,2026-03-17 04:28:27.323883,24.34,17,failed
7c713d2c-b7a4-4a31-9210-882b3482b69c,3,2026-03-18 22:29:52.399009,66.36,18,failed
7c713d2c-b7a4-4a31-9210-882b3482b69c,4,2026-03-22 09:59:49.411321,149.86,22,success
7fbbfe38-0d47-4d80-8745-4feddfcd72ba,1,2026-06-07 03:04:50.098561,3.36,7,success
3a07f012-4e29-454a-8fb9-d04b79916479,1,2026-03-16 08:58:47.608272,11.0,16,success
9d3e3ace-281b-4e38-9866-f62439c9545a,1,2026-01-17 04:19:26.768714,5.96,17,success
e9e95e5c-d50c-42ad-bb93-366d083118dd,1,2026-02-08 20:52:43.314704,2.7,8,failed
e9e95e5c-d50c-42ad-bb93-366d083118dd,2,2026-02-10 00:51:21.541564,30.67,10,failed
e9e95e5c-d50c-42ad-bb93-366d083118dd,3,2026-02-12 04:45:09.280826,82.57,12,failed
e9e95e5c-d50c-42ad-bb93-366d083118dd,4,2026-02-15 06:00:13.410363,155.82,15,failed
12a21f0a-56b9-456b-84ae-56dea5c750a6,1,2026-01-25 02:47:47.521299,8.75,25,failed
12a21f0a-56b9-456b-84ae-56dea5c750a6,2,2026-01-25 22:23:02.469559,28.33,25,success
83d8c023-575a-41f6-82c3-5c8c1cb22733,1,2026-06-28 04:42:04.891971,3.25,28,success
bce34fde-c6d4-4656-ac04-f6d21d831267,1,2026-06-24 20:42:08.903046,3.74,24,failed
bce34fde-c6d4-4656-ac04-f6d21d831267,2,2026-06-25 13:21:41.328001,20.39,25,success
38a4fcc6-5ee3-4f94-879e-ca845e140c39,1,2026-06-26 17:31:00.750569,10.57,26,success
dbc2f748-5935-45fe-89e6-48bddb924f05,1,2026-01-21 14:50:03.284553,1.12,21,success
4b1cd26b-634b-4a04-94cf-407beeaa6acf,1,2026-04-24 00:05:11.021958,4.07,24,success
acba150a-2a81-43fe-a4f8-5ff87ceb8b65,1,2026-04-15 17:51:17.214923,7.79,15,failed
acba150a-2a81-43fe-a4f8-5ff87ceb8b65,2,2026-04-16 19:02:03.166514,32.97,16,failed
acba150a-2a81-43fe-a4f8-5ff87ceb8b65,3,2026-04-19 14:54:32.344339,100.84,19,success
f5dd1e7f-51a7-4d48-ac5a-249fb79ba198,1,2026-06-24 09:22:20.659697,5.69,24,failed
f5dd1e7f-51a7-4d48-ac5a-249fb79ba198,2,2026-06-25 14:52:53.078710,35.2,25,failed
f5dd1e7f-51a7-4d48-ac5a-249fb79ba198,3,2026-06-28 03:25:03.478616,95.73,28,success
67c04ebf-cc7a-41d5-9380-121eae10bdca,1,2026-01-25 12:18:04.677567,5.48,25,failed
67c04ebf-cc7a-41d5-9380-121eae10bdca,2,2026-01-26 15:31:16.571441,32.7,26,success
13922dc4-f8b1-41f0-a105-d9fed7308963,1,2026-06-16 12:49:07.480055,7.95,16,failed
13922dc4-f8b1-41f0-a105-d9fed7308963,2,2026-06-17 17:33:18.479814,36.69,17,success
099c152b-bd1f-45d3-b04e-87a369d01d23,1,2026-05-26 17:57:40.665249,2.58,26,success
